name,total,ann,dd,sharpe,ops,win,delta
sma10_1d,70.47309765506415,0.4503734791877705,-0.36358736324506125,1.287452283202081,114,0.37719298245614036,-127.94844686272307
sma10_2d,39.69153661518352,0.3809372431950042,-0.4388714411630936,1.0887792064911948,100,0.41,-158.7300079026037
sma10_3d,29.522089464463587,0.3467814132476279,-0.559716110728129,0.9793677846638905,91,0.3956043956043956,-168.89945505332363
sma20_1d,78.7137615179037,0.46422282130674586,-0.48701581195986066,1.2372953839393237,84,0.3333333333333333,-119.70778299988352
sma20_2d,79.5816282886707,0.4656043294290215,-0.4630105769473327,1.1922633698078038,69,0.4057971014492754,-118.83991622911653
sma20_3d,80.55488251808663,0.4671375325535765,-0.4995873270351441,1.1734290077876428,61,0.45901639344262296,-117.8666619997006
sma30_1d,68.9342873687003,0.44762682721139235,-0.507066416435656,1.1665571968350954,66,0.3787878787878788,-129.48725714908693
sma30_2d,180.99731226091512,0.5733748063580921,-0.4691914248694192,1.3325512093157401,57,0.42105263157894735,-17.424232256872102
sma30_3d,212.92521982862036,0.5956797986468514,-0.5002344902320112,1.3408654992456153,49,0.5102040816326531,14.503675310833131
sma50_1d,324.0689917807287,0.6548987674853441,-0.41071043972590904,1.4124700951515543,42,0.4523809523809524,125.64744726294148
sma50_2d,424.7512090400643,0.6942474133486163,-0.42062881200768876,1.4495919259372758,35,0.5142857142857142,226.32966452227706
sma50_3d,367.3254528601194,0.6730028433705715,-0.4085374031299268,1.4081518078113298,33,0.5454545454545454,168.9039083423322
sma75_1d,171.07718703425425,0.5657133025023096,-0.4380944180068217,1.2558818963513363,33,0.5151515151515151,-27.344357483532974
sma75_2d,172.28693018815017,0.5666688838672296,-0.4528578760546096,1.2298396889740713,32,0.46875,-26.13461432963706
sma75_3d,167.64843349693226,0.5629712043137243,-0.4388572662366399,1.219000911071419,29,0.4827586206896552,-30.77311102085497
sma100_1d,138.18018650270682,0.5370469328830378,-0.4654353684787782,1.1886042689542078,34,0.4117647058823529,-60.24135801508041
sma100_2d,285.13902206801583,0.6366156667282332,-0.46851617885827157,1.2979022399699633,25,0.52,86.71747755022861
sma100_3d,481.76595481106614,0.7128934319110893,-0.5001703211682598,1.3747787201304527,20,0.7,283.3444102932789
sma150_1d,412.1799392401052,0.6898306851748515,-0.603282999007092,1.3296064582155762,15,0.4666666666666667,213.758394722318
sma150_2d,309.76590503379805,0.6484260803522797,-0.652102568066701,1.274818052053999,15,0.4666666666666667,111.34436051601082
sma150_3d,363.2807062191477,0.6713947241626799,-0.5879101089893187,1.2989846880414904,12,0.5833333333333334,164.85916170136048
sma200_1d,199.64923697994885,0.5868010341729675,-0.7033810238982057,1.1806471644773877,12,0.5,1.2276924621616274
sma200_2d,181.86077223541406,0.5740235094282089,-0.6903963202409199,1.1576958800399886,12,0.5,-16.560772282373165
sma200_3d,161.6393933410197,0.5580404031575543,-0.6943204707597608,1.1343030568834909,12,0.5,-36.78215117676751
baseline_or_7d_-6,85.47738179532192,0.47464514960013493,-0.5073934430666343,1.2367528734372504,58,0.43103448275862066,-112.94416272246531
baseline_or_7d_-8,104.28981780166133,0.5001422163972862,-0.5073934430666344,1.2598416223845683,51,0.45098039215686275,-94.1317267161259
baseline_or_7d_-10,119.22145099659546,0.517569231975757,-0.5073934430666343,1.279456106973805,48,0.4583333333333333,-79.20009352119176
baseline_or_7d_-12,131.20810247781068,0.5301827655732936,-0.5073934430666343,1.2836689802895562,44,0.5,-67.21344203997654
baseline_or_7d_-15,180.42251867819002,0.5729414140281379,-0.4862719764746839,1.3345942418249916,40,0.525,-17.99902583959721
trail14_8,63.60572015555637,0.43766933183846146,-0.4875531628583122,1.1930159144387904,63,0.3968253968253968,-134.81582436223084
trail14_10,81.10793941464559,0.4680013565772654,-0.5993424696871328,1.2047174779214531,51,0.4117647058823529,-117.31360510314164
trail14_12,84.9555298668163,0.47386799625807074,-0.5993424696871325,1.1859305218268288,42,0.47619047619047616,-113.46601465097092
trail14_15,92.37467069193538,0.48453343113540526,-0.5648629117747292,1.1511610380564408,34,0.5588235294117647,-106.04687382585185
trail14_20,100.01158718783987,0.49473246062710574,-0.6509182854056252,1.1253144343257833,20,0.7,-98.40995732994736
trail30_8,71.7704252606507,0.45264747853329124,-0.3993107781993903,1.2721950597119316,62,0.4032258064516129,-126.65111925713653
trail30_10,49.02419300850408,0.40599556164276285,-0.5516483240712033,1.129188489296593,56,0.375,-149.39735150928314
trail30_12,46.622057554230885,0.3999826007584626,-0.5514147496629367,1.089464305044136,52,0.36538461538461536,-151.79948696355635
trail30_15,72.08581237492284,0.4531947046775615,-0.564862911774729,1.132050938288167,41,0.4634146341463415,-126.33573214286439
trail30_20,140.25190273249586,0.5390260990017179,-0.5186922785418375,1.2126931770856992,23,0.6956521739130435,-58.16964178529136
trail60_8,54.064282938624096,0.417799375228862,-0.34187923236246553,1.229508253778846,66,0.3787878787878788,-144.35726157916312
trail60_10,59.406253186425396,0.4292786013974328,-0.4217126040078344,1.2004997079918223,57,0.3684210526315789,-139.01529133136182
trail60_12,71.68980597304578,0.45250724909382845,-0.3823199387169737,1.210241331546847,51,0.37254901960784315,-126.73173854474145
trail60_15,71.59121617248996,0.45233556857835455,-0.451555624235469,1.1614396246667542,41,0.4634146341463415,-126.83032834529726
trail60_20,124.12142624969357,0.5228584031566461,-0.4841367619587261,1.217771619307429,27,0.5555555555555556,-74.30011826809366
trail90_8,47.70785704112205,0.40273404748027675,-0.34862018052814336,1.200511574021311,64,0.390625,-150.71368747666517
trail90_10,55.155685541713304,0.42022490921100264,-0.4217126040078345,1.1828873877544963,58,0.3620689655172414,-143.26585897607393
trail90_12,68.48646341829742,0.4468171317017655,-0.3823199387169738,1.200149459007488,51,0.37254901960784315,-129.93508109948982
trail90_15,74.66011487314606,0.45758245284513754,-0.427367731315781,1.171909517948591,40,0.475,-123.76142964464117
trail90_20,99.54556575080942,0.49413060867972325,-0.4744866494440032,1.179991250096698,29,0.5517241379310345,-98.87597876697781
sma20_1d_weak,101.95118898912314,0.49721047126238127,-0.5119515387242578,1.282341970668709,82,0.35365853658536583,-96.47035552866409
sma20_1d_or_mom8,68.27773837762341,0.44643811409030776,-0.48701581195986055,1.2153717544738452,87,0.3218390804597701,-130.1438061401638
sma30_1d_weak,69.42751749313162,0.44851316073810477,-0.4860257522660649,1.1582141558217673,74,0.35135135135135137,-128.99402702465562
sma30_1d_or_mom8,64.95603327583726,0.4402616569126152,-0.4891940859486664,1.1792468644600098,72,0.3472222222222222,-133.46551124194997
sma50_1d_weak,243.16310561102387,0.614159196327049,-0.4200659206793427,1.3373921180291022,54,0.3888888888888889,44.74156109323664
sma50_1d_or_mom8,107.01635500576175,0.5034861132680191,-0.4774773627719149,1.2767575812006045,58,0.41379310344827586,-91.40518951202547
