variant,description,period,start,end,strategy_total_return,strategy_annualized_return,strategy_max_drawdown,strategy_sharpe,strategy_operations,strategy_win_rate,buy_hold_total_return,buy_hold_max_drawdown,delta_total_return,drawdown_improvement
sma50_2d_or_sma90_2d,Regola attuale oppure Close sotto SMA90 per 2 giorni,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
sma50_2d_or_sma90_2d,Regola attuale oppure Close sotto SMA90 per 2 giorni,2024_2026_recent,2024-01-01,2026-06-23,0.3431534199749344,0.12650244143649303,-0.2912444170297097,0.5519647900306996,13,0.23076923076923078,0.4188771802405924,-0.5120947570953596,-0.07572376026565797,0.22085034006564985
sma50_2d_or_sma90_2d,Regola attuale oppure Close sotto SMA90 per 2 giorni,2025_2026_recent,2025-01-01,2026-06-23,-0.2094930906670166,-0.14741976667665957,-0.2094930906670166,-0.8583569350235046,6,0.16666666666666666,-0.3362827761569037,-0.5120947570953596,0.12678968548988712,0.30260166642834296
sma50_1d_or_7d_momentum,Vende sotto SMA50 1 giorno oppure se il rendimento a 7 giorni <= -10%,full,2015-01-01,2026-06-23,128.14425064882028,0.5270612436066575,-0.47747736277191466,1.3080385085799462,55,0.41818181818181815,198.42154451778723,-0.8339900882218974,-70.27729386896695,0.3565127254499827
sma50_1d_or_7d_momentum,Vende sotto SMA50 1 giorno oppure se il rendimento a 7 giorni <= -10%,2017_bull,2017-01-01,2017-12-31,6.230973961922903,6.270381971710474,-0.33215502379857254,3.0815051875156505,9,0.5555555555555556,13.180151972080678,-0.3550810193918734,-6.949178010157775,0.022925995593300885
sma50_1d_or_7d_momentum,Vende sotto SMA50 1 giorno oppure se il rendimento a 7 giorni <= -10%,2018_bear,2018-01-01,2018-12-31,-0.22749375985545317,-0.22804135578135432,-0.31246194487687917,-1.0615120770418505,2,0.0,-0.7259540472477137,-0.8153271113852912,0.49846028739226056,0.5028651665084121
sma50_1d_or_7d_momentum,Vende sotto SMA50 1 giorno oppure se il rendimento a 7 giorni <= -10%,2021_top,2021-01-01,2021-12-31,0.4937545316376455,0.4954022333931163,-0.3385120516926061,1.138359820818529,8,0.375,0.5764351178750771,-0.5306185040984175,-0.08268058623743157,0.19210645240581137
sma50_1d_or_7d_momentum,Vende sotto SMA50 1 giorno oppure se il rendimento a 7 giorni <= -10%,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
sma50_1d_or_7d_momentum,Vende sotto SMA50 1 giorno oppure se il rendimento a 7 giorni <= -10%,2024_2026_recent,2024-01-01,2026-06-23,0.21980564062135644,0.0835296484464918,-0.30952337829433796,0.4303480919872404,15,0.2,0.4188771802405924,-0.5120947570953596,-0.19907153961923596,0.2025713788010216
sma50_1d_or_7d_momentum,Vende sotto SMA50 1 giorno oppure se il rendimento a 7 giorni <= -10%,2025_2026_recent,2025-01-01,2026-06-23,-0.1579486989539658,-0.11008856644887022,-0.16814281432080125,-0.635955162111075,7,0.14285714285714285,-0.3362827761569037,-0.5120947570953596,0.17833407720293792,0.3439519427745583
sma50_2d_or_7d_momentum,Regola attuale piu uscita crash: rendimento a 7 giorni <= -10%,full,2015-01-01,2026-06-23,119.22145099659546,0.517569231975757,-0.5073934430666343,1.279456106973805,48,0.4583333333333333,198.42154451778723,-0.8339900882218974,-79.20009352119176,0.3265966451552631
sma50_2d_or_7d_momentum,Regola attuale piu uscita crash: rendimento a 7 giorni <= -10%,2017_bull,2017-01-01,2017-12-31,5.69582246226901,5.730891998297676,-0.34801451112684556,2.928686513921773,8,0.625,13.180151972080678,-0.3550810193918734,-7.484329509811667,0.00706650826502786
sma50_2d_or_7d_momentum,Regola attuale piu uscita crash: rendimento a 7 giorni <= -10%,2018_bear,2018-01-01,2018-12-31,-0.27172219526053654,-0.2723563064371749,-0.35182568186605834,-1.2802468256271118,2,0.0,-0.7259540472477137,-0.8153271113852912,0.4542318519871772,0.4635014295192329
sma50_2d_or_7d_momentum,Regola attuale piu uscita crash: rendimento a 7 giorni <= -10%,2021_top,2021-01-01,2021-12-31,0.5672342867741222,0.5691700359210448,-0.31050212454675996,1.2470471997949275,7,0.42857142857142855,0.5764351178750771,-0.5306185040984175,-0.00920083110095482,0.22011637955165753
sma50_2d_or_7d_momentum,Regola attuale piu uscita crash: rendimento a 7 giorni <= -10%,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
sma50_2d_or_7d_momentum,Regola attuale piu uscita crash: rendimento a 7 giorni <= -10%,2024_2026_recent,2024-01-01,2026-06-23,0.22600039115412662,0.08574806028804294,-0.30847826597746675,0.43488010271468686,13,0.23076923076923078,0.4188771802405924,-0.5120947570953596,-0.19287678908646577,0.20361649111789282
sma50_2d_or_7d_momentum,Regola attuale piu uscita crash: rendimento a 7 giorni <= -10%,2025_2026_recent,2025-01-01,2026-06-23,-0.18013562195279853,-0.12606476448581316,-0.19310518184507308,-0.6952511732038814,6,0.16666666666666666,-0.3362827761569037,-0.5120947570953596,0.1561471542041052,0.3189895752502865
sma50_1d_or_sma200,Vende sotto SMA50 1 giorno oppure sotto SMA200,full,2015-01-01,2026-06-23,324.0689917807287,0.6548987674853441,-0.41071043972590904,1.4124700951515543,42,0.4523809523809524,198.42154451778723,-0.8339900882218974,125.64744726294148,0.4232796484959883
sma50_1d_or_sma200,Vende sotto SMA50 1 giorno oppure sotto SMA200,2017_bull,2017-01-01,2017-12-31,6.277915106884207,6.3177090238426405,-0.3568822990237691,2.8092070246644014,5,0.6,13.180151972080678,-0.3550810193918734,-6.90223686519647,-0.0018012796318956914
sma50_1d_or_sma200,Vende sotto SMA50 1 giorno oppure sotto SMA200,2018_bear,2018-01-01,2018-12-31,-0.22749375985545317,-0.22804135578135432,-0.31246194487687917,-1.0615120770418505,2,0.0,-0.7259540472477137,-0.8153271113852912,0.49846028739226056,0.5028651665084121
sma50_1d_or_sma200,Vende sotto SMA50 1 giorno oppure sotto SMA200,2021_top,2021-01-01,2021-12-31,0.9318625122667905,0.9353604600152687,-0.254060535869327,1.5236556771095742,4,0.5,0.5764351178750771,-0.5306185040984175,0.35542739439171345,0.2765579682290905
sma50_1d_or_sma200,Vende sotto SMA50 1 giorno oppure sotto SMA200,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
sma50_1d_or_sma200,Vende sotto SMA50 1 giorno oppure sotto SMA200,2024_2026_recent,2024-01-01,2026-06-23,0.40351013259979096,0.14667384804313865,-0.2599376066374869,0.6149100240763912,14,0.21428571428571427,0.4188771802405924,-0.5120947570953596,-0.015367047640801434,0.2521571504578727
sma50_1d_or_sma200,Vende sotto SMA50 1 giorno oppure sotto SMA200,2025_2026_recent,2025-01-01,2026-06-23,-0.1579486989539658,-0.11008856644887022,-0.16814281432080125,-0.635955162111075,7,0.14285714285714285,-0.3362827761569037,-0.5120947570953596,0.17833407720293792,0.3439519427745583
sma50_2d_or_sma200,Regola attuale oppure Close sotto SMA200,full,2015-01-01,2026-06-23,424.7512090400643,0.6942474133486163,-0.42062881200768876,1.4495919259372758,35,0.5142857142857142,198.42154451778723,-0.8339900882218974,226.32966452227706,0.4133612762142086
sma50_2d_or_sma200,Regola attuale oppure Close sotto SMA200,2017_bull,2017-01-01,2017-12-31,7.040617501753985,7.086795517493314,-0.35508101939187375,2.8641274835685007,4,0.75,13.180151972080678,-0.3550810193918734,-6.1395344703266925,-3.3306690738754696e-16
sma50_2d_or_sma200,Regola attuale oppure Close sotto SMA200,2018_bear,2018-01-01,2018-12-31,-0.24049586441706738,-0.24106963555095084,-0.3240339441931914,-1.071811658500072,2,0.0,-0.7259540472477137,-0.8153271113852912,0.48545818283064635,0.4912931671920998
sma50_2d_or_sma200,Regola attuale oppure Close sotto SMA200,2021_top,2021-01-01,2021-12-31,1.0688051897085487,1.0729410817579335,-0.254060535869327,1.6528825156253166,3,0.6666666666666666,0.5764351178750771,-0.5306185040984175,0.4923700718334716,0.2765579682290905
sma50_2d_or_sma200,Regola attuale oppure Close sotto SMA200,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
sma50_2d_or_sma200,Regola attuale oppure Close sotto SMA200,2024_2026_recent,2024-01-01,2026-06-23,0.42560440648509545,0.15392826546035776,-0.2765512856558666,0.6310584051693119,12,0.25,0.4188771802405924,-0.5120947570953596,0.0067272262445030595,0.23554347143949295
sma50_2d_or_sma200,Regola attuale oppure Close sotto SMA200,2025_2026_recent,2025-01-01,2026-06-23,-0.18013562195279853,-0.12606476448581316,-0.19310518184507308,-0.6952511732038814,6,0.16666666666666666,-0.3362827761569037,-0.5120947570953596,0.1561471542041052,0.3189895752502865
trend_break_combo,"Vende sotto SMA50 1 giorno, oppure sotto SMA200 con RSI < 45",full,2015-01-01,2026-06-23,324.0689917807287,0.6548987674853441,-0.41071043972590904,1.4124700951515543,42,0.4523809523809524,198.42154451778723,-0.8339900882218974,125.64744726294148,0.4232796484959883
trend_break_combo,"Vende sotto SMA50 1 giorno, oppure sotto SMA200 con RSI < 45",2017_bull,2017-01-01,2017-12-31,6.277915106884207,6.3177090238426405,-0.3568822990237691,2.8092070246644014,5,0.6,13.180151972080678,-0.3550810193918734,-6.90223686519647,-0.0018012796318956914
trend_break_combo,"Vende sotto SMA50 1 giorno, oppure sotto SMA200 con RSI < 45",2018_bear,2018-01-01,2018-12-31,-0.22749375985545317,-0.22804135578135432,-0.31246194487687917,-1.0615120770418505,2,0.0,-0.7259540472477137,-0.8153271113852912,0.49846028739226056,0.5028651665084121
trend_break_combo,"Vende sotto SMA50 1 giorno, oppure sotto SMA200 con RSI < 45",2021_top,2021-01-01,2021-12-31,0.9318625122667905,0.9353604600152687,-0.254060535869327,1.5236556771095742,4,0.5,0.5764351178750771,-0.5306185040984175,0.35542739439171345,0.2765579682290905
trend_break_combo,"Vende sotto SMA50 1 giorno, oppure sotto SMA200 con RSI < 45",2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
trend_break_combo,"Vende sotto SMA50 1 giorno, oppure sotto SMA200 con RSI < 45",2024_2026_recent,2024-01-01,2026-06-23,0.40351013259979096,0.14667384804313865,-0.2599376066374869,0.6149100240763912,14,0.21428571428571427,0.4188771802405924,-0.5120947570953596,-0.015367047640801434,0.2521571504578727
trend_break_combo,"Vende sotto SMA50 1 giorno, oppure sotto SMA200 con RSI < 45",2025_2026_recent,2025-01-01,2026-06-23,-0.1579486989539658,-0.11008856644887022,-0.16814281432080125,-0.635955162111075,7,0.14285714285714285,-0.3362827761569037,-0.5120947570953596,0.17833407720293792,0.3439519427745583
atr_defensive,Vende sotto SMA50 1 giorno oppure sotto SMA50 - 1 ATR,full,2015-01-01,2026-06-23,324.0689917807287,0.6548987674853441,-0.41071043972590904,1.4124700951515543,42,0.4523809523809524,198.42154451778723,-0.8339900882218974,125.64744726294148,0.4232796484959883
atr_defensive,Vende sotto SMA50 1 giorno oppure sotto SMA50 - 1 ATR,2017_bull,2017-01-01,2017-12-31,6.277915106884207,6.3177090238426405,-0.3568822990237691,2.8092070246644014,5,0.6,13.180151972080678,-0.3550810193918734,-6.90223686519647,-0.0018012796318956914
atr_defensive,Vende sotto SMA50 1 giorno oppure sotto SMA50 - 1 ATR,2018_bear,2018-01-01,2018-12-31,-0.22749375985545317,-0.22804135578135432,-0.31246194487687917,-1.0615120770418505,2,0.0,-0.7259540472477137,-0.8153271113852912,0.49846028739226056,0.5028651665084121
atr_defensive,Vende sotto SMA50 1 giorno oppure sotto SMA50 - 1 ATR,2021_top,2021-01-01,2021-12-31,0.9318625122667905,0.9353604600152687,-0.254060535869327,1.5236556771095742,4,0.5,0.5764351178750771,-0.5306185040984175,0.35542739439171345,0.2765579682290905
atr_defensive,Vende sotto SMA50 1 giorno oppure sotto SMA50 - 1 ATR,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
atr_defensive,Vende sotto SMA50 1 giorno oppure sotto SMA50 - 1 ATR,2024_2026_recent,2024-01-01,2026-06-23,0.40351013259979096,0.14667384804313865,-0.2599376066374869,0.6149100240763912,14,0.21428571428571427,0.4188771802405924,-0.5120947570953596,-0.015367047640801434,0.2521571504578727
atr_defensive,Vende sotto SMA50 1 giorno oppure sotto SMA50 - 1 ATR,2025_2026_recent,2025-01-01,2026-06-23,-0.1579486989539658,-0.11008856644887022,-0.16814281432080125,-0.635955162111075,7,0.14285714285714285,-0.3362827761569037,-0.5120947570953596,0.17833407720293792,0.3439519427745583
rolling_high_stop_15,Vende se scende oltre -15% dal massimo degli ultimi 30 giorni,full,2015-01-01,2026-06-23,72.08581237492284,0.4531947046775615,-0.564862911774729,1.132050938288167,41,0.4634146341463415,198.42154451778723,-0.8339900882218974,-126.33573214286439,0.2691271764471683
rolling_high_stop_15,Vende se scende oltre -15% dal massimo degli ultimi 30 giorni,2017_bull,2017-01-01,2017-12-31,5.415193515783646,5.448034771023642,-0.30736706504363476,2.934566297651273,9,0.6666666666666666,13.180151972080678,-0.3550810193918734,-7.764958456297031,0.04771395434823866
rolling_high_stop_15,Vende se scende oltre -15% dal massimo degli ultimi 30 giorni,2018_bear,2018-01-01,2018-12-31,-0.33258810833450014,-0.3333290884411879,-0.3363008178362624,-2.2925166251670013,4,0.0,-0.7259540472477137,-0.8153271113852912,0.3933659389132136,0.4790262935490288
rolling_high_stop_15,Vende se scende oltre -15% dal massimo degli ultimi 30 giorni,2021_top,2021-01-01,2021-12-31,-0.025576561123445862,-0.025645917600470636,-0.3992871858457109,0.1740424686396433,7,0.42857142857142855,0.5764351178750771,-0.5306185040984175,-0.6020116789985229,0.1313313182527066
rolling_high_stop_15,Vende se scende oltre -15% dal massimo degli ultimi 30 giorni,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
rolling_high_stop_15,Vende se scende oltre -15% dal massimo degli ultimi 30 giorni,2024_2026_recent,2024-01-01,2026-06-23,0.018695789898919513,0.007506972602201234,-0.4958079591637601,0.19244434548904277,9,0.3333333333333333,0.4188771802405924,-0.5120947570953596,-0.4001813903416729,0.016286797931599484
rolling_high_stop_15,Vende se scende oltre -15% dal massimo degli ultimi 30 giorni,2025_2026_recent,2025-01-01,2026-06-23,-0.10232689039780973,-0.07061943778489943,-0.351876626564097,-0.12248098713822554,3,0.3333333333333333,-0.3362827761569037,-0.5120947570953596,0.23395588575909398,0.16021813053126255
hybrid_defensive,"SMA50 1 giorno, crash 7 giorni <= -10%, oppure sotto SMA200 con RSI < 45",full,2015-01-01,2026-06-23,128.14425064882028,0.5270612436066575,-0.47747736277191466,1.3080385085799462,55,0.41818181818181815,198.42154451778723,-0.8339900882218974,-70.27729386896695,0.3565127254499827
hybrid_defensive,"SMA50 1 giorno, crash 7 giorni <= -10%, oppure sotto SMA200 con RSI < 45",2017_bull,2017-01-01,2017-12-31,6.230973961922903,6.270381971710474,-0.33215502379857254,3.0815051875156505,9,0.5555555555555556,13.180151972080678,-0.3550810193918734,-6.949178010157775,0.022925995593300885
hybrid_defensive,"SMA50 1 giorno, crash 7 giorni <= -10%, oppure sotto SMA200 con RSI < 45",2018_bear,2018-01-01,2018-12-31,-0.22749375985545317,-0.22804135578135432,-0.31246194487687917,-1.0615120770418505,2,0.0,-0.7259540472477137,-0.8153271113852912,0.49846028739226056,0.5028651665084121
hybrid_defensive,"SMA50 1 giorno, crash 7 giorni <= -10%, oppure sotto SMA200 con RSI < 45",2021_top,2021-01-01,2021-12-31,0.4937545316376455,0.4954022333931163,-0.3385120516926061,1.138359820818529,8,0.375,0.5764351178750771,-0.5306185040984175,-0.08268058623743157,0.19210645240581137
hybrid_defensive,"SMA50 1 giorno, crash 7 giorni <= -10%, oppure sotto SMA200 con RSI < 45",2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
hybrid_defensive,"SMA50 1 giorno, crash 7 giorni <= -10%, oppure sotto SMA200 con RSI < 45",2024_2026_recent,2024-01-01,2026-06-23,0.21980564062135644,0.0835296484464918,-0.30952337829433796,0.4303480919872404,15,0.2,0.4188771802405924,-0.5120947570953596,-0.19907153961923596,0.2025713788010216
hybrid_defensive,"SMA50 1 giorno, crash 7 giorni <= -10%, oppure sotto SMA200 con RSI < 45",2025_2026_recent,2025-01-01,2026-06-23,-0.1579486989539658,-0.11008856644887022,-0.16814281432080125,-0.635955162111075,7,0.14285714285714285,-0.3362827761569037,-0.5120947570953596,0.17833407720293792,0.3439519427745583
